Metric,N_Users,NonLocal_Hybrid,Localized_Hybrid,Abs_Gain,Abs_CI_lower,Abs_CI_upper,Rel_Gain_pct,Rel_CI_lower_pct,Rel_CI_upper_pct
Precision@10,397,0.127,0.1562,0.0292,0.0214,0.037,23.02,16.47,30.25
Recall@10,397,0.0872,0.1076,0.0204,0.013,0.0281,23.39,14.36,33.76
HR@10,397,0.6222,0.6877,0.0655,0.0302,0.1033,10.53,4.69,17.23
MRR@10,397,0.3221,0.3653,0.0432,0.0223,0.0627,13.41,6.63,20.25
NDCG@10,397,0.1519,0.1838,0.0319,0.0236,0.0405,21.04,15.11,27.41
