Model,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Preference_Escape@10
Popularity,3.849,10.38,0.493,0.507
CF_ColdStart,4.3,10.264,0.495,0.505
CBF,3.345,8.161,0.742,0.258
Affinity_Only,1.033,8.091,1.0,0.0
NonLocal_Hybrid,3.615,9.156,0.692,0.308
Localized_Hybrid,1.856,9.03,0.952,0.048
