Model,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std
CF,0.0005,0.0071,0.0007,0.0101,0.0004,0.0056
CBF,0.006,0.0238,0.0141,0.0675,0.0121,0.0606
NonLocal_Hybrid,0.004,0.0196,0.0064,0.0328,0.007,0.0378
Localized_Hybrid,0.0065,0.0247,0.013,0.0553,0.0111,0.0473
