Lambda,Precision@10,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Preference_Escape@10
0.0,0.127,0.0872,0.6222,0.3221,0.1519,3.6146,9.1562,0.6917,0.3083
0.05,0.1383,0.094,0.6574,0.3336,0.1626,3.1537,9.0277,0.7728,0.2272
0.1,0.1484,0.1004,0.6826,0.3494,0.1736,2.6322,8.9849,0.8506,0.1494
0.15,0.1516,0.1034,0.6776,0.3627,0.1795,2.1788,9.0025,0.9083,0.0917
0.2,0.1562,0.1076,0.6877,0.3653,0.1838,1.8564,9.0302,0.9524,0.0476
0.3,0.1607,0.1111,0.6927,0.3781,0.1909,1.5416,9.0856,0.9917,0.0083
0.4,0.161,0.1098,0.6751,0.3758,0.1913,1.461,9.204,0.9985,0.0015
0.5,0.1584,0.1075,0.6776,0.3678,0.188,1.3627,9.3501,1.0,0.0
