Archetype,Quota,Available,Sampled,Sampling_Fraction
anime,80,412,80,0.1942
bollywood,80,182,80,0.4396
korean,60,114,60,0.5263
hollywood,140,129731,140,0.0011
mixed,40,12880,40,0.0031
