Model,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,HR@10_mean,HR@10_std,MRR@10_mean,MRR@10_std,NDCG@10_mean,NDCG@10_std,Precision@10_Ceiling_mean
Popularity,0.0831,0.121,0.0486,0.078,0.466,0.4995,0.1911,0.2955,0.0918,0.1371,0.8607
CF_ColdStart,0.1078,0.1256,0.0796,0.1095,0.5793,0.4943,0.2869,0.3628,0.1292,0.1528,0.8607
CBF,0.0741,0.1137,0.0486,0.0824,0.4458,0.4977,0.1825,0.3008,0.0837,0.1299,0.8607
Affinity_Only,0.0768,0.1393,0.0477,0.1009,0.3728,0.4842,0.1496,0.2693,0.0818,0.1517,0.8607
NonLocal_Hybrid,0.127,0.1503,0.0872,0.1142,0.6222,0.4855,0.3221,0.3823,0.1519,0.1794,0.8607
Localized_Hybrid,0.1562,0.171,0.1076,0.1288,0.6877,0.464,0.3653,0.386,0.1838,0.1935,0.8607
