Track,Lambda,UserId,Archetype,Precision@10,Precision@10_Ceiling,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Novelty@10
real,0.3,4708,kdrama,0.3,0.5,0.6,1.0,0.5,0.467,2,8,0.8,0.2
real,0.4,4708,kdrama,0.3,0.5,0.6,1.0,0.5,0.4731,1,8,1.0,0.0
real,0.5,4708,kdrama,0.3,0.5,0.6,1.0,0.5,0.4731,1,8,1.0,0.0
real,0.0,4943,hollywood,0.0,1.0,0.0,0.0,0.0,0.0,4,11,0.7,0.3
real,0.05,4943,hollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,11,0.8,0.2
real,0.1,4943,hollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,11,0.8,0.2
real,0.15,4943,hollywood,0.1,1.0,0.0714,1.0,0.1111,0.0663,2,11,0.9,0.1
real,0.2,4943,hollywood,0.1,1.0,0.0714,1.0,0.1111,0.0663,1,9,1.0,0.0
real,0.3,4943,hollywood,0.1,1.0,0.0714,1.0,0.1111,0.0663,1,9,1.0,0.0
real,0.4,4943,hollywood,0.1,1.0,0.0714,1.0,0.1111,0.0663,1,9,1.0,0.0
real,0.5,4943,hollywood,0.1,1.0,0.0714,1.0,0.1111,0.0663,1,9,1.0,0.0
real,0.0,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.4632,3,9,0.8,0.2
real,0.05,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.1,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.15,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.2,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.3,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.4,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.46,1,8,1.0,0.0
real,0.5,5498,bollywood,0.4,1.0,0.0588,1.0,1.0,0.4658,1,8,1.0,0.0
real,0.0,5544,bollywood,0.2,1.0,0.0278,1.0,0.2,0.1635,6,5,0.6,0.4
real,0.05,5544,bollywood,0.2,1.0,0.0278,1.0,0.3333,0.1884,6,5,0.6,0.4
real,0.1,5544,bollywood,0.2,1.0,0.0278,1.0,0.5,0.2083,5,5,0.7,0.3
real,0.15,5544,bollywood,0.1,1.0,0.0139,1.0,0.5,0.1389,3,8,0.9,0.1
real,0.2,5544,bollywood,0.1,1.0,0.0139,1.0,1.0,0.2201,3,8,0.9,0.1
real,0.3,5544,bollywood,0.2,1.0,0.0278,1.0,1.0,0.2837,2,8,1.0,0.0
real,0.4,5544,bollywood,0.2,1.0,0.0278,1.0,1.0,0.2863,2,5,1.0,0.0
real,0.5,5544,bollywood,0.4,1.0,0.0556,1.0,1.0,0.4351,2,5,1.0,0.0
real,0.0,7472,kdrama,0.1,1.0,0.0526,1.0,0.1111,0.0663,4,8,0.7,0.3
real,0.05,7472,kdrama,0.1,1.0,0.0526,1.0,0.125,0.0694,4,8,0.7,0.3
real,0.1,7472,kdrama,0.1,1.0,0.0526,1.0,0.125,0.0694,4,8,0.8,0.2
real,0.15,7472,kdrama,0.3,1.0,0.1579,1.0,0.1429,0.2032,3,8,0.9,0.1
real,0.2,7472,kdrama,0.3,1.0,0.1579,1.0,0.25,0.2436,3,8,0.9,0.1
real,0.3,7472,kdrama,0.2,1.0,0.1053,1.0,0.3333,0.2048,2,11,1.0,0.0
real,0.4,7472,kdrama,0.2,1.0,0.1053,1.0,0.5,0.2489,2,10,1.0,0.0
real,0.5,7472,kdrama,0.2,1.0,0.1053,1.0,0.5,0.2489,1,11,1.0,0.0
real,0.0,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,4,9,0.7,0.3
real,0.05,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,9,0.9,0.1
real,0.1,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,9,0.9,0.1
real,0.15,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,9,0.9,0.1
real,0.2,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,9,0.9,0.1
real,0.3,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,9,1.0,0.0
real,0.4,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,9,1.0,0.0
real,0.5,8694,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,9,1.0,0.0
real,0.0,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,3,11,0.7,0.3
real,0.05,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,3,11,0.9,0.1
real,0.1,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,2,11,1.0,0.0
real,0.15,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,2,11,1.0,0.0
real,0.2,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,2,11,1.0,0.0
real,0.3,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,2,11,1.0,0.0
real,0.4,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,1,10,1.0,0.0
real,0.5,8738,anime,0.1,0.9,0.1111,1.0,0.5,0.1483,1,10,1.0,0.0
real,0.0,9569,kdrama,0.1,1.0,0.0476,1.0,1.0,0.2201,2,10,0.7,0.3
real,0.05,9569,kdrama,0.1,1.0,0.0476,1.0,1.0,0.2201,3,10,0.9,0.1
real,0.1,9569,kdrama,0.1,1.0,0.0476,1.0,1.0,0.2201,3,9,0.9,0.1
real,0.15,9569,kdrama,0.1,1.0,0.0476,1.0,1.0,0.2201,3,9,0.9,0.1
real,0.2,9569,kdrama,0.2,1.0,0.0952,1.0,1.0,0.2863,2,8,1.0,0.0
real,0.3,9569,kdrama,0.2,1.0,0.0952,1.0,1.0,0.2985,2,8,1.0,0.0
real,0.4,9569,kdrama,0.3,1.0,0.1429,1.0,1.0,0.3689,2,9,1.0,0.0
real,0.5,9569,kdrama,0.3,1.0,0.1429,1.0,1.0,0.3811,2,10,1.0,0.0
real,0.0,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.3301,4,12,0.5,0.5
real,0.05,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,3,14,0.7,0.3
real,0.1,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,3,14,0.8,0.2
real,0.15,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,3,14,0.8,0.2
real,0.2,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,2,14,0.9,0.1
real,0.3,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,1,14,1.0,0.0
real,0.4,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,1,14,1.0,0.0
real,0.5,9883,hollywood,0.2,1.0,0.0247,1.0,1.0,0.359,1,14,1.0,0.0
real,0.0,10744,hollywood,0.3,0.4,0.75,1.0,0.1667,0.3867,1,9,1.0,0.0
real,0.05,10744,hollywood,0.3,0.4,0.75,1.0,0.1667,0.3867,1,9,1.0,0.0
real,0.1,10744,hollywood,0.3,0.4,0.75,1.0,0.1667,0.382,1,9,1.0,0.0
real,0.15,10744,hollywood,0.3,0.4,0.75,1.0,0.1667,0.382,1,9,1.0,0.0
real,0.2,10744,hollywood,0.3,0.4,0.75,1.0,0.1667,0.382,1,9,1.0,0.0
real,0.3,10744,hollywood,0.2,0.4,0.5,1.0,0.1667,0.2622,1,9,1.0,0.0
real,0.4,10744,hollywood,0.2,0.4,0.5,1.0,0.125,0.2407,1,9,1.0,0.0
real,0.5,10744,hollywood,0.2,0.4,0.5,1.0,0.125,0.236,1,9,1.0,0.0
real,0.0,11148,hollywood,0.1,1.0,0.0556,1.0,0.1667,0.0784,5,12,0.6,0.4
real,0.05,11148,hollywood,0.1,1.0,0.0556,1.0,0.2,0.0851,3,12,0.8,0.2
real,0.1,11148,hollywood,0.1,1.0,0.0556,1.0,0.2,0.0851,2,10,0.9,0.1
real,0.15,11148,hollywood,0.1,1.0,0.0556,1.0,0.2,0.0851,2,10,0.9,0.1
real,0.2,11148,hollywood,0.1,1.0,0.0556,1.0,0.25,0.0948,2,10,0.9,0.1
real,0.3,11148,hollywood,0.1,1.0,0.0556,1.0,0.25,0.0948,1,10,1.0,0.0
real,0.4,11148,hollywood,0.1,1.0,0.0556,1.0,0.25,0.0948,1,10,1.0,0.0
real,0.5,11148,hollywood,0.1,1.0,0.0556,1.0,0.25,0.0948,1,10,1.0,0.0
real,0.0,12146,anime,0.2,0.6,0.3333,1.0,0.25,0.2312,2,11,1.0,0.0
real,0.05,12146,anime,0.2,0.6,0.3333,1.0,0.25,0.2312,2,10,1.0,0.0
real,0.1,12146,anime,0.2,0.6,0.3333,1.0,0.2,0.2082,2,10,1.0,0.0
real,0.15,12146,anime,0.1,0.6,0.1667,1.0,0.2,0.1171,2,11,1.0,0.0
real,0.2,12146,anime,0.1,0.6,0.1667,1.0,0.1429,0.1009,2,11,1.0,0.0
real,0.3,12146,anime,0.1,0.6,0.1667,1.0,0.1,0.0875,2,11,1.0,0.0
real,0.4,12146,anime,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
real,0.5,12146,anime,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
real,0.0,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,12,0.7,0.3
real,0.05,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,12,0.8,0.2
real,0.1,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,12,0.8,0.2
real,0.15,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,2,13,0.9,0.1
real,0.2,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,1,13,1.0,0.0
real,0.3,12440,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,1,13,1.0,0.0
real,0.4,12440,bollywood,0.1,1.0,0.05,1.0,0.125,0.0694,2,12,1.0,0.0
real,0.5,12440,bollywood,0.2,1.0,0.1,1.0,0.5,0.2122,2,12,1.0,0.0
real,0.0,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,3,7,0.7,0.3
real,0.05,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,3,7,0.7,0.3
real,0.1,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,7,0.8,0.2
real,0.15,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,7,0.8,0.2
real,0.2,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,7,0.8,0.2
real,0.3,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,8,0.9,0.1
real,0.4,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,9,1.0,0.0
real,0.5,13403,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,9,1.0,0.0
real,0.0,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,7,13,0.4,0.6
real,0.05,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,6,13,0.5,0.5
real,0.1,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,4,13,0.7,0.3
real,0.15,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,3,12,0.8,0.2
real,0.2,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,2,10,0.9,0.1
