Model,anime,bollywood,hollywood,korean,mixed
Popularity,0.468,0.506,0.457,0.564,0.533
CF_ColdStart,0.544,0.508,0.494,0.498,0.372
CBF,0.824,0.735,0.734,0.717,0.659
Affinity_Only,1.0,1.0,1.0,1.0,1.0
NonLocal_Hybrid,0.78,0.689,0.707,0.658,0.515
Localized_Hybrid,0.971,0.936,0.967,0.925,0.936
