Model,anime,bollywood,hollywood,kdrama,mixed
CF,1.0,1.0,0.951,1.0,1.0
CBF,1.0,1.0,1.0,1.0,1.0
NonLocal_Hybrid,1.0,1.0,1.0,1.0,1.0
Localized_Hybrid,1.0,1.0,1.0,1.0,1.0
