Model,Language_Diversity,Genre_Diversity,Novelty@10
CF_ColdStart,5.567,10.873,0.807
CBF,3.111,4.997,0.501
NonLocal_Hybrid,4.269,6.199,0.526
Localized_Hybrid,2.99,6.332,0.279
