Model,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std
CF_ColdStart,0.0205,0.0527,0.0521,0.1403,0.0445,0.126
CBF,0.0642,0.0984,0.1767,0.2753,0.1245,0.2006
NonLocal_Hybrid,0.0642,0.0979,0.1814,0.2784,0.1316,0.2091
Localized_Hybrid,0.0982,0.1172,0.259,0.3034,0.1991,0.2478
