Model,Mean_NDCG@10,CI_lower,CI_upper
CF_ColdStart,0.0445,0.0319,0.0571
CBF,0.1245,0.1044,0.1445
NonLocal_Hybrid,0.1316,0.1107,0.1525
Localized_Hybrid,0.1991,0.1743,0.2239
