Model,anime,bollywood,hollywood,kdrama,mixed
CF_ColdStart,0.355,0.081,0.24,0.066,0.1
CBF,0.587,0.219,0.851,0.081,0.169
NonLocal_Hybrid,0.622,0.162,0.79,0.094,0.145
Localized_Hybrid,0.853,0.525,0.985,0.353,0.393
